run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw3,2026-09-09T00:14:10Z,baseline_cv_heading_v1,120,1967.6252,108.235,351.0356,1760.3883,-1967.2204,31.7085,173.7372,2,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,181.2133,54.6048,37.2029,156.0602,-180.2749,18.4072,82.918,3,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,383.9256,39.4225,35.521,348.2823,-362.3903,126.7862,100.0524,4,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_cv_heading_v1,120,2558.2119,71.427,1099.153,2437.397,-1632.6206,-1969.2345,37.4527,1,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,322.1615,37.6595,91.7016,296.2993,-120.546,298.7598,33.4612,2,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,49.6461,16.7334,12.6628,46.3179,-29.8646,39.6591,11.5449,3,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,520.4424,90.4339,82.6713,483.7394,-422.7095,-303.6076,,4,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_cv_heading_v1,180,108.6969,11.6692,222.962,428.0358,-107.7063,14.6444,5.6477,5,test,phone,True,
vw5,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,153.7943,82.6006,89.9672,154.1219,136.9199,70.0415,5.8153,1,test,phone,True,
vw5,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,39.7086,217.4582,19.176,36.7241,-11.8736,-37.8918,86.0873,2,test,phone,True,
vw6,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,67.8963,85.0291,10.17,60.9705,-29.1715,61.3102,93.4026,1,test,phone,True,
vw6,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,315.3954,125.0952,110.6523,295.4345,-295.287,110.8221,116.4371,2,test,phone,True,
vw7,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,89.9587,41.5698,42.7152,77.5129,65.9458,61.1855,22.6584,1,test,phone,True,
vw7,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,15.0454,22.6761,7.6806,14.8147,-10.7078,10.5692,40.003,2,test,phone,True,
vw8,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,121.5124,35.1242,119.0935,134.625,66.1156,-101.9516,39.1921,1,test,phone,True,
vw8,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,48.4296,69.5132,8.7056,43.5657,0.2908,-48.4288,63.594,2,test,phone,True,
