run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw14b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,180,1060.9632,44.7311,360.1948,834.7414,-614.3841,864.9387,37.7057,5,test,phone,True,
vw14c,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,3.2331,7.2408,3.8148,8.7308,2.7843,1.6434,9.717,1,test,phone,True,
vw14c,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,2327.7949,153.9072,830.5947,2147.9281,-2327.2099,46.5272,122.9696,2,test,phone,True,
vw14c,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,215.2107,31.7283,73.4975,201.4523,-213.7824,24.7447,1.9112,3,test,phone,True,
vw14c,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,180,1553.6361,53.7987,1297.0297,1553.8697,-1539.2103,211.2187,40.6314,4,test,phone,True,
vw14c,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,874.7108,94.3558,409.8871,823.9607,-770.1575,-414.7563,99.6424,5,test,phone,True,
vw16a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,15.9657,12.8524,7.6606,14.5258,8.7724,-13.3397,15.0198,1,test,phone,True,
vw16a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,98.0269,23.6223,25.2977,87.5006,-28.5829,-93.7673,26.5535,2,test,phone,True,
vw16a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,609.9488,52.4079,231.4383,593.1023,-438.9651,-423.5067,2.4586,3,test,phone,True,
vw16a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,965.5164,47.4972,333.7721,918.1553,-746.6198,612.1599,40.8989,4,test,phone,True,
vw16b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,25.889,11.8173,5.9767,21.7446,-24.9147,-7.0356,20.158,1,test,phone,True,
vw16b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,254.8922,58.1233,100.7879,241.7207,-205.0934,151.3477,17.005,2,test,phone,True,
vw17,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,36.1966,20.8414,14.6152,34.4196,-21.2081,29.3328,15.1071,1,test,phone,True,
vw2,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,180,3048.1401,120.2435,1071.9353,2824.411,-3026.6802,363.6677,156.9781,1,test,phone,True,
vw2,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,13.0015,21.6143,8.3108,12.5219,-12.5316,-3.4638,4.8638,2,test,phone,True,
vw2,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,826.517,58.7198,289.8028,780.4679,-725.3798,396.2302,38.4619,3,test,phone,True,
vw2,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,371.8061,44.5525,137.3713,342.8599,-318.3442,-192.0853,10.2485,4,test,phone,True,
vw2,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,1854.9257,58.0559,858.7418,1735.8189,-1692.9042,758.2023,4.547,5,test,phone,True,
vw3,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,47.7491,36.6327,24.8556,44.9401,-31.8925,-35.5366,13.8725,1,test,phone,True,
vw3,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,577.7358,31.78,263.1691,527.5218,-139.7418,560.5762,34.8432,2,test,phone,True,
vw3,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,414.7917,124.9887,241.0113,397.6763,-56.7965,410.8914,70.622,3,test,phone,True,
vw3,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,777.1217,79.7969,209.029,726.9451,-118.12,-768.1113,135.5517,4,test,phone,True,
vw4,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,2063.8635,57.6244,994.7735,1935.3792,-2046.4782,267.0785,75.7209,1,test,phone,True,
vw4,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,434.2974,50.7678,149.603,405.3203,-433.5766,-25.0087,14.0804,2,test,phone,True,
vw4,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,61.7029,20.7972,19.1258,57.6571,-52.9107,-31.7446,11.0442,3,test,phone,True,
vw4,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,673.4253,117.0167,120.8356,630.2071,-149.0206,-656.7479,75.9959,4,test,phone,True,
vw4,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,180,8.6413,0.9277,147.4901,428.6995,3.5605,-7.8737,6.8472,5,test,phone,True,
vw5,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,76.5235,41.0996,68.4493,85.3216,65.1326,-40.1697,95.6657,1,test,phone,True,
vw5,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,29.0306,158.982,9.571,25.0313,-17.6104,-23.0793,98.7691,2,test,phone,True,
vw6,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,66.2195,82.9292,7.9092,59.7261,-43.1837,50.2016,83.7017,1,test,phone,True,
vw6,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,449.5201,178.2931,151.3308,420.1051,-443.0889,75.7859,160.0386,2,test,phone,True,
vw7,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,194.6276,89.9372,52.9015,180.9792,-146.5448,128.0824,134.2732,1,test,phone,True,
vw7,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,21.9551,33.0903,11.8621,20.7946,9.2479,-19.9124,2.8659,2,test,phone,True,
vw8,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,433.8598,125.4108,117.8197,372.6569,-433.2737,-22.5406,168.9662,1,test,phone,True,
vw8,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,77.1808,110.7809,21.7754,69.5096,-37.6011,-67.4022,117.2011,2,test,phone,True,
vw8,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,161.9462,69.0651,64.7204,144.6437,9.7124,161.6547,27.1967,3,test,phone,True,
vw9,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,32.0981,38.206,8.5042,29.1316,-7.7142,-31.1574,46.3572,1,test,phone,True,
